#,Date Time,Low Range (μS/cm) c:1 3,Temp (°C) c:3,Specific Conductance (μS/cm)
1,07/30/15 00:00:00,62.39,16.28,76.0
2,07/30/15 00:00:30,62.31,16.26,75.9
3,07/30/15 00:01:00,62.39,16.28,76.0
4,07/30/15 00:01:30,62.39,16.26,76.0
5,07/30/15 00:02:00,62.39,16.26,76.0
6,07/30/15 00:02:30,62.31,16.26,75.9
7,07/30/15 00:03:00,62.31,16.26,75.9
8,07/30/15 00:03:30,62.39,16.25,76.0
9,07/30/15 00:04:00,62.31,16.26,75.9
10,07/30/15 00:04:30,62.39,16.25,76.0
11,07/30/15 00:05:00,62.31,16.26,75.9
12,07/30/15 00:05:30,62.31,16.26,75.9
13,07/30/15 00:06:00,62.31,16.26,75.9
14,07/30/15 00:06:30,62.31,16.25,75.9
15,07/30/15 00:07:00,62.39,16.25,76.0
16,07/30/15 00:07:30,62.39,16.25,76.0
17,07/30/15 00:08:00,62.31,16.25,75.9
18,07/30/15 00:08:30,62.31,16.24,75.9
19,07/30/15 00:09:00,62.31,16.24,75.9
20,07/30/15 00:09:30,62.31,16.22,76.0
21,07/30/15 00:10:00,62.31,16.22,76.0
22,07/30/15 00:10:30,62.31,16.22,76.0
23,07/30/15 00:11:00,62.31,16.22,76.0
24,07/30/15 00:11:30,62.31,16.22,76.0
25,07/30/15 00:12:00,62.31,16.21,76.0
26,07/30/15 00:12:30,62.31,16.22,76.0
27,07/30/15 00:13:00,62.24,16.22,75.9
28,07/30/15 00:13:30,62.31,16.21,76.0
29,07/30/15 00:14:00,62.31,16.22,76.0
30,07/30/15 00:14:30,62.31,16.21,76.0
31,07/30/15 00:15:00,62.24,16.21,75.9
32,07/30/15 00:15:30,62.24,16.21,75.9
33,07/30/15 00:16:00,62.24,16.20,75.9
34,07/30/15 00:16:30,62.24,16.20,75.9
35,07/30/15 00:17:00,62.24,16.18,76.0
36,07/30/15 00:17:30,62.24,16.18,76.0
37,07/30/15 00:18:00,62.24,16.18,76.0
38,07/30/15 00:18:30,62.24,16.18,76.0
39,07/30/15 00:19:00,62.24,16.18,76.0
40,07/30/15 00:19:30,62.17,16.17,75.9
41,07/30/15 00:20:00,62.24,16.17,76.0
42,07/30/15 00:20:30,62.24,16.17,76.0
43,07/30/15 00:21:00,62.24,16.17,76.0
44,07/30/15 00:21:30,62.24,16.17,76.0
45,07/30/15 00:22:00,62.24,16.17,76.0
46,07/30/15 00:22:30,62.24,16.18,76.0
47,07/30/15 00:23:00,62.17,16.17,75.9
48,07/30/15 00:23:30,62.24,16.17,76.0
49,07/30/15 00:24:00,62.24,16.16,76.0
50,07/30/15 00:24:30,62.24,16.16,76.0
51,07/30/15 00:25:00,62.17,16.16,75.9
52,07/30/15 00:25:30,62.24,16.16,76.0
53,07/30/15 00:26:00,62.17,16.16,75.9
54,07/30/15 00:26:30,62.17,16.16,75.9
55,07/30/15 00:27:00,62.17,16.15,75.9
56,07/30/15 00:27:30,62.17,16.13,76.0
57,07/30/15 00:28:00,62.17,16.13,76.0
58,07/30/15 00:28:30,62.24,16.13,76.1
59,07/30/15 00:29:00,62.17,16.13,76.0
60,07/30/15 00:29:30,62.17,16.13,76.0
61,07/30/15 00:30:00,62.17,16.12,76.0
62,07/30/15 00:30:30,62.17,16.12,76.0
63,07/30/15 00:31:00,62.17,16.12,76.0
64,07/30/15 00:31:30,62.17,16.12,76.0
65,07/30/15 00:32:00,62.17,16.13,76.0
66,07/30/15 00:32:30,62.17,16.12,76.0
67,07/30/15 00:33:00,62.24,16.13,76.1
68,07/30/15 00:33:30,62.09,16.13,75.9
69,07/30/15 00:34:00,62.17,16.12,76.0
70,07/30/15 00:34:30,62.17,16.12,76.0
71,07/30/15 00:35:00,62.10,16.12,75.9
72,07/30/15 00:35:30,62.17,16.11,76.0
73,07/30/15 00:36:00,62.17,16.12,76.0
74,07/30/15 00:36:30,62.10,16.11,75.9
75,07/30/15 00:37:00,62.10,16.12,75.9
76,07/30/15 00:37:30,62.17,16.12,76.0
77,07/30/15 00:38:00,62.10,16.11,75.9
78,07/30/15 00:38:30,62.10,16.11,75.9
79,07/30/15 00:39:00,62.17,16.11,76.0
80,07/30/15 00:39:30,62.10,16.09,76.0
81,07/30/15 00:40:00,62.17,16.09,76.0
